incident_id,year,title,reason
479,2023,Instagram Video Featured Deepfake Audio of US President Making Transphobic Remarks,out-of-scope-type
480,2023,Non-Consensual Deepfake Porn Targeted Female Content Creators,out-of-scope-type
481,2023,Purported Deepfake TikTok Video Reportedly Featured Joe Rogan Endorsing Supplement Brand,out-of-scope-type
483,2023,Indian Police Allegedly Tortured and Killed Innocent Man Following Facial Misidentification,out-of-scope-type
484,2023,US CBP App's Failure to Detect Black Faces Reportedly Blocked Asylum Applications,out-of-scope-type
487,2023,Deepfake Video Featured Fictitious News Anchors Discussing Venezuela's Economy,out-of-scope-type
494,2023,Female Celebrities' Faces Shown in Sexually Suggestive Ads for Deepfake App,out-of-scope-type
495,2023,Carmel High School Students Reportedly Posted Racist Deepfake Videos Making New York Principal Appear to Threaten Black Students,out-of-scope-type
508,2023,Celebrities' Deepfake Voices Abused with Malicious Intent,out-of-scope-type
509,2023,Scammers Deepfaked Videos of Victims' Loved Ones Asking for Funds over Facebook in Vietnam,out-of-scope-type
510,2023,Viral Image of Pope Francis in a Puffer Jacket Revealed to Be AI-Generated,out-of-scope-type
524,2023,Synthesized Voices Were Reportedly Used by Torswats to Sell Swatting Calls Targeting Schools and Homes,out-of-scope-type
526,2023,Novel Deepfake Song Pulled from Music Streaming Services After Allegedly Violating Artist's Rights,out-of-scope-type
543,2023,Purported AI-Generated Image of Explosion Near Pentagon Reportedly Triggers Brief Market Dip and Public Confusion,out-of-scope-type
544,2023,Alleged Use of Purportedly AI-Generated and Manipulated Media to Misrepresent Candidates and Disrupt Turkey's 2023 Presidential Election,out-of-scope-type
547,2023,Ron DeSantis's Presidential Campaign Released Twitter Video Containing AI Images of Donald Trump Hugging Anthony Fauci,out-of-scope-type
550,2023,Tesla Allegedly on Autopilot Struck High School Student Exiting School Bus,out-of-scope-type
551,2023,FBI Reported Surge of Extortion Cases of AI Media Featuring Sexual Explicit Activities,out-of-scope-type
560,2023,Tesla on Autopilot Struck Parked Work Truck on Highway in Pennsylvania,out-of-scope-type
563,2023,Cruise Robotaxi Initially Blamed for Ambulance Delay in Case Where Patient Later Died; Subsequent Reports Clear Cruise of Fault,out-of-scope-type
564,2023,Voice deepfake targets bank in failed transfer scam,out-of-scope-type
567,2023,Deepfake Voice Exploit Compromises Retool's Cloud Services,out-of-scope-type
573,2023,Deepfake Recordings Allegedly Influence Slovakian Election,out-of-scope-type
583,2023,Instagram Algorithms Allegedly Promote Accounts Facilitating Child Sex Abuse Content,out-of-scope-type
