incident_id,year,stage,reason
479,2023,keyword-triage,out-of-scope-type
480,2023,keyword-triage,out-of-scope-type
481,2023,keyword-triage,out-of-scope-type
483,2023,keyword-triage,out-of-scope-type
484,2023,keyword-triage,out-of-scope-type
487,2023,keyword-triage,out-of-scope-type
494,2023,keyword-triage,out-of-scope-type
495,2023,keyword-triage,out-of-scope-type
508,2023,keyword-triage,out-of-scope-type
509,2023,keyword-triage,out-of-scope-type
510,2023,keyword-triage,out-of-scope-type
524,2023,keyword-triage,out-of-scope-type
526,2023,keyword-triage,out-of-scope-type
543,2023,keyword-triage,out-of-scope-type
544,2023,keyword-triage,out-of-scope-type
547,2023,keyword-triage,out-of-scope-type
550,2023,keyword-triage,out-of-scope-type
551,2023,keyword-triage,out-of-scope-type
560,2023,keyword-triage,out-of-scope-type
563,2023,keyword-triage,out-of-scope-type
564,2023,keyword-triage,out-of-scope-type
567,2023,keyword-triage,out-of-scope-type
573,2023,keyword-triage,out-of-scope-type
583,2023,keyword-triage,out-of-scope-type
584,2023,keyword-triage,out-of-scope-type
592,2023,keyword-triage,out-of-scope-type
595,2023,keyword-triage,out-of-scope-type
596,2023,keyword-triage,out-of-scope-type
597,2023,keyword-triage,out-of-scope-type
604,2023,keyword-triage,out-of-scope-type
606,2023,keyword-triage,out-of-scope-type
607,2023,keyword-triage,out-of-scope-type
610,2023,keyword-triage,out-of-scope-type
617,2023,keyword-triage,out-of-scope-type
619,2023,keyword-triage,out-of-scope-type
624,2023,keyword-triage,out-of-scope-type
626,2023,keyword-triage,out-of-scope-type
628,2024,keyword-triage,out-of-scope-type
632,2024,keyword-triage,out-of-scope-type
634,2024,keyword-triage,out-of-scope-type
640,2023,keyword-triage,out-of-scope-type
641,2024,keyword-triage,out-of-scope-type
643,2024,keyword-triage,out-of-scope-type
647,2024,keyword-triage,out-of-scope-type
648,2024,keyword-triage,out-of-scope-type
649,2024,keyword-triage,out-of-scope-type
650,2024,keyword-triage,out-of-scope-type
651,2023,keyword-triage,out-of-scope-type
652,2023,keyword-triage,out-of-scope-type
655,2024,keyword-triage,out-of-scope-type
656,2024,keyword-triage,out-of-scope-type
658,2024,keyword-triage,out-of-scope-type
659,2023,keyword-triage,out-of-scope-type
660,2024,keyword-triage,out-of-scope-type
661,2024,keyword-triage,out-of-scope-type
664,2024,keyword-triage,out-of-scope-type
665,2024,keyword-triage,out-of-scope-type
666,2023,keyword-triage,out-of-scope-type
667,2023,keyword-triage,out-of-scope-type
668,2023,keyword-triage,out-of-scope-type
669,2024,keyword-triage,out-of-scope-type
670,2024,keyword-triage,out-of-scope-type
671,2024,keyword-triage,out-of-scope-type
673,2024,keyword-triage,out-of-scope-type
674,2024,keyword-triage,out-of-scope-type
675,2024,keyword-triage,out-of-scope-type
676,2024,keyword-triage,out-of-scope-type
679,2023,keyword-triage,out-of-scope-type
682,2024,keyword-triage,out-of-scope-type
683,2024,keyword-triage,out-of-scope-type
686,2024,keyword-triage,out-of-scope-type
687,2024,keyword-triage,out-of-scope-type
689,2024,keyword-triage,out-of-scope-type
692,2024,keyword-triage,out-of-scope-type
694,2023,keyword-triage,out-of-scope-type
695,2023,keyword-triage,out-of-scope-type
697,2023,keyword-triage,out-of-scope-type
698,2023,keyword-triage,out-of-scope-type
702,2024,keyword-triage,out-of-scope-type
703,2024,keyword-triage,out-of-scope-type
707,2024,keyword-triage,out-of-scope-type
711,2024,keyword-triage,out-of-scope-type
713,2023,keyword-triage,out-of-scope-type
715,2024,keyword-triage,out-of-scope-type
717,2024,keyword-triage,out-of-scope-type
720,2023,keyword-triage,out-of-scope-type
726,2023,keyword-triage,out-of-scope-type
730,2024,keyword-triage,out-of-scope-type
735,2024,keyword-triage,out-of-scope-type
737,2024,keyword-triage,out-of-scope-type
